objectid,objecttype,attributeid,attributetype
chndm_1935-12-1-6,object,1850s,date
chndm_1935-12-1-6,object,1860s,date
chndm_1935-2-1-a_b,object,1820s,date
chndm_1935-2-1-a_b,object,1830s,date
chndm_1935-2-3-a,object,1800s,date
chndm_1935-2-3-a,object,1830s,date
chndm_1935-2-6,object,1830s,date
chndm_1935-2-6,object,1840s,date
chndm_1935-2-7,object,1750s,date
chndm_1935-2-7,object,1850s,date
chndm_1936-13-16-a_b,object,1780s,date
chndm_1937-22-10,object,1870s,date
chndm_1937-22-10,object,1880s,date
chndm_1937-38-2-b,object,1740s,date
chndm_1937-38-2-b,object,1760s,date
chndm_1937-49-2,object,1700s,date
chndm_1937-49-2,object,1800s,date
chndm_1937-96-2,object,1820s,date
chndm_1937-96-2,object,1870s,date
chndm_1938-1-32,object,1840s,date
chndm_1938-57-102,object,1850s,date
chndm_1938-57-102,object,1860s,date
chndm_1938-57-1028,object,1890s,date
chndm_1938-57-1070-175,object,1890s,date
chndm_1938-57-1070-19,object,1880s,date
chndm_1938-57-1070-198,object,1870s,date
